GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-COREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION DE LA VICTIMA,CLASE DE SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA, , 
HERIDOS,01/07/2020 12:00:00 AM,2020,1899-12-31T14:00:00.000,TARDE,2_MARTES,NUEVO,CARRERA 30 CALLE 26,URBANA,TECNICO,352.416,-7.630.128,POR ESTABLECER,NO APLICA,CHOQUE OBJETO FIJO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PALMIRA,PARTICULAR,NO APLICA,,
HERIDOS,01/07/2020 12:00:00 AM,2020,1899-12-31T14:00:00.000,TARDE,2_MARTES,NUEVO,CARRERA 30 CALLE 26,URBANA,TECNICO,352.416,-7.630.128,POR ESTABLECER,MOTOCICLISTA,CHOQUE OBJETO FIJO,1,NO APLICA,FRACTURAS,NO APLICA,MOTO,AKT,PRADERA,PARTICULAR,NO APLICA,,
HERIDOS,01/07/2020 12:00:00 AM,2020,1899-12-31T14:00:00.000,TARDE,2_MARTES,NUEVO,CARRERA 30 CALLE 26,URBANA,TECNICO,352.416,-7.630.128,POR ESTABLECER,ACOMPAÑANTE MOTOCICLISTA,CHOQUE OBJETO FIJO,1,NO APLICA,FRACTURAS,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
DAÑOS,01/07/2020 12:00:00 AM,2020,1899-12-31T17:30:00.000,TARDE,2_MARTES,PRADO,CALLE 36 CARRERA 41-71,URBANA,TECNICO,353.322,-7.631.186,SUBIRSE AL ANDEN,NO APLICA,CHOQUE OBJETO FIJO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,LA CEJA,PARTICULAR,NO APLICA,,
DAÑOS,01/07/2020 12:00:00 AM,2020,1899-12-31T17:30:00.000,TARDE,2_MARTES,PRADO,CARRERA 41 CALLE 33A,URBANA,TECNICO,353.138,-7.631.138,ADEALANTAR EN ZONA PROHIBIDA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/07/2020 12:00:00 AM,2020,1899-12-31T17:30:00.000,TARDE,2_MARTES,PRADO,CARRERA 41 CALLE 33A,URBANA,TECNICO,353.138,-7.631.138,ADEALANTAR EN ZONA PROHIBIDA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,HERO,FLORIDA,PARTICULAR,NO APLICA,,
HERIDOS,01/04/2020 12:00:00 AM,2020,1899-12-31T20:00:00.000,NOCHE,6_SABADO,PRIMER  MAYO,CALLE 41 CARRERA 13A -72,URBANA,TECNICO,353.636,-7.628.622,CRUZAR SIN OBSERVAR,NO APLICA,ATROPELLO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,FLORIDA,PARTICULAR,NO APLICA,,
HERIDOS,01/04/2020 12:00:00 AM,2020,1899-12-31T20:00:00.000,NOCHE,6_SABADO,PRIMER  MAYO,CALLE 41 CARRERA 13A -72,URBANA,TECNICO,353.636,-7.628.622,CRUZAR SIN OBSERVAR,PEATON,ATROPELLO,1,NO APLICA,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
HERIDOS,01/08/2020 12:00:00 AM,2020,1899-12-31T15:30:00.000,TARDE,3_MIERCOLES,SAN PEDRO,CALLE 37 CARRERA 16A,URBANA,TECNICO,353.295,-7.628.871,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,MOTO,JIANLIGN,GUACARI,PARTICULAR,NO APLICA,,
HERIDOS,01/08/2020 12:00:00 AM,2020,1899-12-31T15:30:00.000,TARDE,3_MIERCOLES,SAN PEDRO,CALLE 37 CARRERA 16A,URBANA,TECNICO,353.295,-7.628.871,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,MOTO,YAMAHA,PRADERA,PARTICULAR,NO APLICA,,
